Name,Address,City,State,Zip,Latitude,Longitude
D'Iberville Elementary School,4540 Brodie Rd,D'Iberville,MS,39540,30.43818528114540,-88.91356459263070
D'Iberville Middle School,3320 Warrior Dr,D'Iberville,MS,39540,30.44475478177760,-88.89227134181910
D'Iberville High School,15625 Lamey Brg Rd,Biloxi,MS,39532,30.51541188968910,-88.93330565094470
Headstart,4221 Popp's Ferry Rd,D'Iberville,MS,39540,30.44765697179740,-88.90618315343490
Creekbend Elementary & Middle School,16121 MS-15,Biloxi,MS,39532,30.51999621671860,-88.92249098421610
Sacred Heart Catholic Elementary,10482 Lemoyne Blvd,D'Iberville,MS,39540,30.43907329123440,-88.88232222208140
St. Martin North Elementary School,16308 Lemoyne Blvd,Biloxi,MS,39532,30.44527624251080,-88.88249391807440
Visions Online Academy,15506 Lemoyne Blvd Ste A,Biloxi,MS,39532,30.44646016823150,-88.86841768518680
Future Scholars Learning Center,15105 Lemoyne Blvd,Biloxi,MS,39532,30.44631217832510,-88.86223787562770
Myhres School of Music,14316 Lemoyne Blvd,Biloxi,MS,39532,30.44720011439320,-88.84953493375600
Ocean Springs After School Care,6716 Washington Ave,Ocean Springs,MS,39564,30.44231636592720,-88.83254045746830
In The Zone Childcare Services,7312 Tucker Rd,Ocean Springs,MS,39564,30.45149169136030,-88.83957857391070
St. Martin East Elementary School,7508 Rose Farm Rd,Ocean Springs,MS,39564,30.45371139840010,-88.82962221406530
